"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword test","Searching by keyword apple should display the corresponding article","ERROR","2017-03-16T11:05:18.981+02:00","0.0","0.1"
"Search by keyword test","Searching by keyword banana should display the corresponding article","ERROR","2017-03-16T11:05:18.319+02:00","0.0","0.34"
